date,tx_index,exchange_rate,s&p500,dealer,trust,foreign_inverstors,overnight_rate
20170601,10087.41992,30.117,243.3600006,985364527,-390609976,5727572885,0.181
20170602,10152.53027,30.117,244.1699982,1397958999,71845590,10027578707,0.181
20170603,0,30.127,0,912264391,-663580640,377603779,0.18
20170605,10226.83984,30.09,243.9900055,1333054027,-440151826,8686008757,0.177
20170606,10206.17969,30.093,243.2100067,-1065736393,-435727950,304031161,0.179
20170607,10209.99023,30.095,243.6600037,89892019,-521801767,4170074298,0.181
20170608,10225.78027,30.105,243.7799988,-85118748,-225664925,4689686007,0.179
20170609,10199.65039,30.108,243.4100037,37172559,-790199050,-7507340487,0.18
20170612,10109.95996,30.176,243.3600006,1284259430,-392815053,-26753008097,0.188
20170613,10128.15039,30.227,244.5500031,217071864,-269840443,-16821796331,0.184
20170614,10072.45996,30.23,244.2400055,-2468910985,-440740323,-7106060196,0.184
20170615,10088.34961,30.247,243.7700043,-127852117,-560984020,-101419119,0.183
20170616,10156.73047,30.381,242.6399994,819460583,-497179961,5958726516,0.186
20170619,10250.59961,30.361,244.6600037,1626657512,614700622,7261093140,0.183
20170620,10324.45996,30.401,243.0099945,-346583829,275770597,2736126992,0.186
20170621,10349.71973,30.471,242.9499969,2653415542,185443381,7757892855,0.183
20170622,10399.05957,30.442,242.8399963,2939857058,43985437,8720005929,0.181
20170623,10377.7002,30.4,243.1300049,1233970056,-277757234,-4897905370,0.186
20170626,10513.95996,30.335,243.2899933,1558809757,49503257,35895620418,0.185
20170627,10512.05957,30.341,241.3300018,2878443678,-462307660,2635634886,0.187
20170628,10390.54981,30.438,243.4900055,863641718,-697160846,-2417529732,0.185
20170629,10421.65039,30.37,241.3500061,-493842321,-699254078,6986846423,0.188
20170630,10395.07031,30.436,241.8000031,770317914,-1755255359,-183547953,0.191
20170703,10412.79004,30.428,242.2100067,436408091,-496983850,-710293045,0.185
20170704,10347.78027,30.528,0,-144690248,-545152923,-9481404081,0.181
20170705,10404.79004,30.509,242.7700043,2803985603,-415722365,-2063045520,0.178
20170706,10368.2002,30.601,240.5500031,-135167563,-118793614,-253147045,0.179
20170707,10297.25,30.61,242.1100006,-1148095743,-825635749,-14465485142,0.179
20170710,10289.91016,30.585,242.3699951,554120955,-183871200,-3914189981,0.18
20170711,10415.57031,30.593,242.1900024,1741909542,-174825005,23958039929,0.182
20170712,10420.67969,30.49,244.0099945,1815096494,904389875,8886876101,0.186
20170713,10460.15039,30.385,244.4199982,-2128246817,-215283002,-458055277,0.183
20170714,10443.91016,30.417,245.5599976,-58168436,-179729574,-4442966348,0.186
20170717,10457.54004,30.419,245.5299988,1221399251,-384723851,2990228534,0.186
20170718,10481.25977,30.37,245.6600037,-942323604,-769700780,428668530,0.187
20170719,10506.09961,30.397,246.9900055,-1126074528,20910175,7292836855,0.187
20170720,10499.36035,30.457,247.1000061,-365138968,-1011878870,-3803152034,0.187
20170721,10436.7002,30.451,246.8800049,971543498,-862190623,-9478621063,0.188
20170724,10461.28027,30.359,246.8200073,693035054,-748201926,2397550014,0.183
20170725,10463.15039,30.36,247.4199982,776091311,-375403220,1317222759,0.186
20170726,10419.11035,30.402,247.4299927,-1436041630,-321496543,-6695222609,0.185
20170727,10508.37012,30.252,247.1999969,706776788,-777693796,9881617214,0.186
20170728,10423.04981,30.302,246.9100037,-1592241479,-610736634,-14878656651,0.186
20170731,10427.33008,30.227,246.7700043,328290272,-467647894,-2563974644,0.187
20170801,10437.29004,30.256,247.3200073,2294198163,-617515230,2252650549,0.188
20170802,10519.26953,30.252,247.4400024,208237051,-50082784,17554940787,0.185
20170803,10469.87988,30.227,246.9600067,-1074733705,-1138141460,-13454515531,0.184
20170804,10506.55957,30.22,247.4100037,-53823387,257531418,-3686786339,0.181
20170807,10579.37988,30.234,247.8699951,1193824707,739709095,887441168,0.178
20170808,10568.96973,30.201,247.2599945,-1643279219,67965604,-2942032175,0.178
20170809,10470.37988,30.218,247.25,-2550685193,-357350988,-16810464983,0.179
20170810,10329.74023,30.309,243.7599945,-2884919341,-416506830,-758830627,0.177
20170811,10329.57031,30.358,244.1199951,761940040,-589382040,-17997287400,0.18
20170814,10225.28027,30.302,246.5399933,-2939659653,-538922760,-7326806413,0.18
20170815,10311.16016,30.317,246.5099945,-642627792,301147024,3650318488,0.184
20170816,10290.38965,30.365,246.9400024,-1176235519,878208679,-9431592482,0.179
